id,company,difficulty,format,prompt_clarity,prompt_reason,hints_quality,hints_reason,debrief_quality,debrief_reason,broken_note_acc,broken_note_reason,error
sql-e01,Amazon,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why LEFT JOIN is better than NOT IN,,,
sql-e02,Shopify,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint is useful but lacks depth in guiding the approach,3,Explains why explicit formula matters conceptually,,,
sql-e03,Salesforce,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint is vague and doesn't guide the approach,3,Explains why stable business logic matters,,,
sql-e04,HubSpot,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint focuses on output but lacks guidance on filtering,3,Explains why filtering on status matters conceptually,,,
sql-e05,Stripe,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why JOIN is critical for risk classification,,,
sql-e06,PayPal,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint is useful but could be more specific,3,Explains SQL pattern and NULL trap importance,,,
sql-e07,TikTok,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains WHY SQL pattern matters,,,
sql-e08,YouTube,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter conceptually,,,
sql-e09,Zocdoc,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains WHY SQL patterns matter,,,
sql-e10,Optum,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e11,eBay,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains SQL pattern and business implications,,,
sql-e12,Mixpanel,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint focuses on output but lacks SQL guidance,3,Explains NULL trap and SQL pattern importance,,,
sql-e13,CVS Health,Easy,Standard,3,Clear business context and output shape specified,2,Hint focuses on output but lacks SQL-specific guidance,3,Explains formula importance and common mistake,,,
sql-e20,Salesforce,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains the pattern's importance and common mistakes,,,
sql-e23,Stripe,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains SQL pattern importance beyond solution,,,
sql-e26,Brex,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why AVG matters for fraud detection,,,
sql-e29,Oscar Health,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains the conceptual importance of pre-filtering,,,
sql-e32,Kaiser Permanente,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains why BETWEEN is safe and concise,,,
sql-e33,Mastercard,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e34,LinkedIn,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why multi-column GROUP BY matters,,,
sql-e35,Shopify,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter,,,
